Completed in 6262.875s

0.678030 (0.181544) with: {'batch_size': 72, 'epochs': 250, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 250, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 250, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 250, 'lr': 0.1}
0.704545 (0.140167) with: {'batch_size': 72, 'epochs': 300, 'lr': 0.001}
0.621212 (0.100774) with: {'batch_size': 72, 'epochs': 300, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 300, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 300, 'lr': 0.1}
0.662879 (0.198744) with: {'batch_size': 72, 'epochs': 350, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 350, 'lr': 0.005}
0.590909 (0.145758) with: {'batch_size': 72, 'epochs': 350, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 350, 'lr': 0.1}
0.662879 (0.138214) with: {'batch_size': 72, 'epochs': 400, 'lr': 0.001}
0.621212 (0.178593) with: {'batch_size': 72, 'epochs': 400, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 400, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 400, 'lr': 0.1}
0.678030 (0.124010) with: {'batch_size': 72, 'epochs': 450, 'lr': 0.001}
0.628788 (0.179181) with: {'batch_size': 72, 'epochs': 450, 'lr': 0.005}
0.583333 (0.140184) with: {'batch_size': 72, 'epochs': 450, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 450, 'lr': 0.1}
0.621212 (0.169190) with: {'batch_size': 72, 'epochs': 500, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 500, 'lr': 0.005}
0.587121 (0.151654) with: {'batch_size': 72, 'epochs': 500, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 72, 'epochs': 500, 'lr': 0.1}
0.579545 (0.135553) with: {'batch_size': 96, 'epochs': 50, 'lr': 0.001}
0.617424 (0.176121) with: {'batch_size': 96, 'epochs': 50, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 50, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 50, 'lr': 0.1}
0.768939 (0.098621) with: {'batch_size': 96, 'epochs': 100, 'lr': 0.001}
0.598485 (0.167046) with: {'batch_size': 96, 'epochs': 100, 'lr': 0.005}
0.594697 (0.164616) with: {'batch_size': 96, 'epochs': 100, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 100, 'lr': 0.1}
0.617424 (0.153744) with: {'batch_size': 96, 'epochs': 150, 'lr': 0.001}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 150, 'lr': 0.005}
0.602273 (0.151444) with: {'batch_size': 96, 'epochs': 150, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 150, 'lr': 0.1}
0.625000 (0.174484) with: {'batch_size': 96, 'epochs': 200, 'lr': 0.001}
0.602273 (0.151444) with: {'batch_size': 96, 'epochs': 200, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 200, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 200, 'lr': 0.1}
0.606061 (0.167253) with: {'batch_size': 96, 'epochs': 250, 'lr': 0.001}
0.590909 (0.145758) with: {'batch_size': 96, 'epochs': 250, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 250, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 250, 'lr': 0.1}
0.795455 (0.139627) with: {'batch_size': 96, 'epochs': 300, 'lr': 0.001}
0.590909 (0.145758) with: {'batch_size': 96, 'epochs': 300, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 300, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 300, 'lr': 0.1}
0.625000 (0.170274) with: {'batch_size': 96, 'epochs': 350, 'lr': 0.001}
0.598485 (0.160119) with: {'batch_size': 96, 'epochs': 350, 'lr': 0.005}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 350, 'lr': 0.01}
0.568182 (0.126964) with: {'batch_size': 96, 'epochs': 350, 'lr': 0.1}
0.666667 (0.190817) with: {'batch_size': 96, 'epochs': 400, 'lr': 0.001}
