Completed in 2481.314s

0.727273 (0.147303) with: {'batch_size': 216, 'epochs': 425}
0.662879 (0.202603) with: {'batch_size': 216, 'epochs': 450}
0.693182 (0.194621) with: {'batch_size': 216, 'epochs': 475}
0.621212 (0.130353) with: {'batch_size': 240, 'epochs': 25}
0.609848 (0.166678) with: {'batch_size': 240, 'epochs': 50}
0.617424 (0.100198) with: {'batch_size': 240, 'epochs': 75}
0.587121 (0.154317) with: {'batch_size': 240, 'epochs': 100}
0.636364 (0.181570) with: {'batch_size': 240, 'epochs': 125}
0.613636 (0.178951) with: {'batch_size': 240, 'epochs': 150}
0.659091 (0.185299) with: {'batch_size': 240, 'epochs': 175}
0.659091 (0.192987) with: {'batch_size': 240, 'epochs': 200}
0.666667 (0.131813) with: {'batch_size': 240, 'epochs': 225}
0.647727 (0.167627) with: {'batch_size': 240, 'epochs': 250}
0.681818 (0.131186) with: {'batch_size': 240, 'epochs': 275}
0.696970 (0.169966) with: {'batch_size': 240, 'epochs': 300}
0.590909 (0.158526) with: {'batch_size': 240, 'epochs': 325}
0.628788 (0.165009) with: {'batch_size': 240, 'epochs': 350}
0.655303 (0.118946) with: {'batch_size': 240, 'epochs': 375}
0.689394 (0.181977) with: {'batch_size': 240, 'epochs': 400}
0.590909 (0.158526) with: {'batch_size': 240, 'epochs': 425}
0.662879 (0.213483) with: {'batch_size': 240, 'epochs': 450}
0.803030 (0.070641) with: {'batch_size': 240, 'epochs': 475}
